Dogs,Based on the Stanford Dogs Dataset,https://dog.ceo/dog-api/
HTTPCat,Cat for every HTTP Status,https://http.cat/
Movebank,Movement and Migration data of animals,https://github.com/movebank/movebank-api-doc
RescueGroups,Adoption,https://userguide.rescuegroups.org/display/APIDG/API+Developers+Guide+Home
Jikan,Unofficial MyAnimeList API,https://jikan.me
Studio Ghibli,Resources from Studio Ghibli films,https://ghibliapi.herokuapp.com
BookNomads,Books published in the Netherlands and Flanders (about 2.5 million),https://www.booknomads.com/dev
British National Bibliography,Books,http://bnb.data.bl.uk/
Open Library,Books book covers and related data,https://openlibrary.org/developers/api
Clearbit Logo API,Search for company logos and embed them in your projects,https://clearbit.com/docs#logo-api
Domainsdb.info,Registered Domain Names Search,https://domainsdb.info/
markerapi,Trademark Search,http://www.markerapi.com/
Church Calendar,Catholic liturgical calendar,http://calapi.inadiutorium.cz/
Czech Namedays Calendar,Lookup for a name and returns nameday date,http://svatky.adresa.info/
Hebrew Calendar,Convert between Gregarian and Hebrew,https://www.hebcal.com/home/developer-apis
LectServe,Protestant liturgical calendar,http://www.lectserve.com
Non-Working Days,Database of ICS files for non working days,https://github.com/gadael/icsdb
Blockchain,Bitcoin Payment,https://www.blockchain.info/api
CoinDesk,Bitcoin Price Index,http://www.coindesk.com/api/
CoinMarketCap,Cryptocurrencies Prices,https://coinmarketcap.com/api/
CryptoCompare,Cryptocurrencies Comparison,https://www.cryptocompare.com/api#
Cryptonator,Cryptocurrencies Exchange Rates,https://www.cryptonator.com/api/
MercadoBitcoin,Brazilian Cryptocurrency Information,https://www.mercadobitcoin.net/api-doc/
Czech National Bank,A collection of exchange rates,https://www.cnb.cz/cs/financni_trhy/devizovy_trh/kurzy_devizoveho_trhu/denni_kurz.xml
Fixer.io,Exchange rates and currency conversion,http://fixer.io
languagelayer,Language detection,https://languagelayer.com
mailboxlayer,Email address validation,https://mailboxlayer.com
MailTest,Email address validation,http://mailtest.in/documentation/
NumValidate,Open Source phone number validation,https://numvalidate.com
numverify,Phone number validation,https://numverify.com
PurgoMalum,Content validator against profanity & obscenity,http://www.purgomalum.com
vatlayer,VAT number validation,https://vatlayer.com
APIs.guru,Wikipedia for Web APIs,https://apis.guru/api-doc/
Bitbucket,Pull public information for a Bitbucket account,https://api.bitbucket.org/2.0/users/karllhughes
CDNJS,Library info on CDNJS,https://api.cdnjs.com/libraries/jquery
Changelogs.md,Structured changelog metadata from open source projects,https://changelogs.md
Count.io,Persistent counting and A/B testing,https://count.io
DigitalOcean Status,Status of all DigitalOcean services,https://status.digitalocean.com/api/v1
DomainDb Info,Domain name search to find all domains containing particular words/phrases/etc,https://domainsdb.info/apidomainsdb/index.php
Genderize.io,Determines a gender from a first name,https://genderize.io
Github,Information for a user's Github profile,https://developer.github.com/v3/
HTTP2.Pro,Test endpoints for client and server HTTP/2 protocol support,https://http2.pro/doc/api
IPify,A simple IP Address API,https://www.ipify.org/
IPinfo,Another simple IP Address API,https://ipinfo.io/developers
JSON 2 JSONP,Convert JSON to JSONP (on-the-fly) for easy cross-domain data requests using client-side JavaScript,https://json2jsonp.com/
Judge0 API,Compile and run source code,https://api.judge0.com/
Let's Validate,Uncovers the technologies used on websites and URL to thumbnail,https://github.com/letsvalidate/api
Myjson,A simple JSON store for your web or mobile app,http://myjson.com/api
Plino,Spam filtering system,https://plino.herokuapp.com/
Public APIs,A collective list of free JSON APIs for use in web development,https://github.com/toddmotto/public-apis/tree/master/json
QR code,Generate and decode / read QR code graphics,http://goqr.me/api/
ReqRes,A hosted REST-API ready to respond to your AJAX requests,https://reqres.in/ 
SHOUTCLOUD,ALL-CAPS AS A SERVICE,http://shoutcloud.io/
Verse,Check what's the latest version of your favorite open-source project,https://verse.pawelad.xyz/
XML to JSON,Integration developer utility APIs,https://developers.wso2apistore.com/
Wordnik,Dictionary Data,http://developer.wordnik.com
File.io,File Sharing,https://www.file.io
pdflayer API,HTML/URL to PDF,https://pdflayer.com
UK Carbon Intensity,The Official Carbon Intensity API for Great Britain developed by National Grid,https://carbon-intensity.github.io/api-definitions/#carbon-intensity-api-v1-0-0
